x,y,z,type
-615.5870115288474,276.2085106721312,0.0,other
168.18212822944093,180.3078342846738,0.0,other
44.8376176171491,-171.80188932108183,0.0,other
524.4684501624206,-19.23762392771178,0.0,other
-16.04751316723191,-350.6115388882787,0.0,other
-137.96649827624256,419.76630704990356,0.0,other
203.22318835090786,-565.5923888647544,0.0,other
-452.9959105289185,-495.1568349299175,0.0,other
239.75276528717194,29.333136210393743,0.0,other
109.38900013327515,-234.12186306131625,0.0,other
-78.94715534441137,-356.82727890752597,0.0,other
211.06539331623026,-440.4968230374201,0.0,other
-33.76382316244972,-12.198616713723998,0.0,other
184.83640639661175,-338.1420324566006,0.0,other
61.763957096148935,478.02829718351916,0.0,other
-217.80818432048747,-183.72964016044244,0.0,other
-206.5498203386914,306.8806840346283,0.0,other
117.87607974328515,15.494210993555255,0.0,other
67.78871535240778,-135.4741471926311,0.0,other
387.5661169183022,-182.4284322201611,0.0,other
355.3496658446388,396.91050743863417,0.0,other
-249.69935645664467,206.46984282862692,0.0,other
91.99435794289235,-226.0723522125818,0.0,other
317.928335728025,373.7203112639768,0.0,other
271.73198314543595,-337.9285676024545,0.0,other
-80.55379546928873,156.6816592794022,0.0,other
-347.5700970695723,472.76262199867625,0.0,other
113.79071339620909,-349.8482944448289,0.0,other
-234.19361617303008,119.88088464639685,0.0,other
-233.23110803223463,-238.16888335714026,0.0,other
-356.65348822090414,-219.1795851406802,0.0,other
-327.169939138473,-78.735436478357,0.0,other
442.46511289079325,333.90774364697245,0.0,other
-226.23900110075732,433.1028310680731,0.0,other
-383.8001141310727,-185.38580222230297,0.0,other
150.85646886756513,537.1690142765655,0.0,other
13.90998292242063,447.56483094317133,0.0,other
154.42988609496155,455.0276879109034,0.0,other
341.33924584237167,-137.772389477099,0.0,other
282.7865459049173,585.7354446472201,0.0,other
-378.0246755009208,263.3758038723906,0.0,other
-138.67442699846782,309.6034301113491,0.0,other
-319.0664002515167,472.8560983261013,0.0,other
-294.7663950746612,302.69590668504577,0.0,other
-497.4931363983231,-248.27413831922854,0.0,other
-164.87044939301228,-471.0711967836961,0.0,other
247.7171122268441,132.61725119607934,0.0,other
-7.137649877191659,327.03118471846625,0.0,other
-319.4671625791997,301.14674875995377,0.0,other
-405.3324518718515,191.35787895484577,0.0,other
141.9305676129412,-65.35163711396659,0.0,other
-308.8022045164292,232.85392961451737,0.0,other
-202.95376755764877,-489.34519033628817,0.0,other
-103.93394101341435,391.7919761966985,0.0,other
621.2801172449816,232.90685659297299,0.0,other
639.012394632767,-125.80432003208756,0.0,other
-368.15781270944717,97.87037732108178,0.0,other
129.11269495173875,-483.2198968436818,0.0,other
39.374692130057745,-41.190185884343,0.0,other
187.20822448862035,336.30363919398457,0.0,other
138.12964519439703,1.2099602841529962,0.0,other
504.8455300148353,384.9568645626353,0.0,other
-160.15086810645587,-396.0715153224069,0.0,other
129.90348780744378,287.41994582981926,0.0,other
265.67889778577904,-265.6332336784841,0.0,other
257.181190931334,237.20145243651606,0.0,other
-175.35416473940987,-262.1735056102996,0.0,other
-214.5083043042328,603.5002531727861,0.0,other
-287.52974570718993,202.50505783527777,0.0,other
61.25368594712888,316.32523680247346,0.0,other
177.8030729260638,-206.43446581699718,0.0,other
122.49452936721444,-237.85632613396274,0.0,other
-40.57856450661348,-313.0562892852659,0.0,other
267.4443497272775,24.691253259850903,0.0,other
46.23399761802143,439.5547958835205,0.0,other
360.0327106366384,106.71774025924407,0.0,other
588.8940439617619,-351.86788172966635,0.0,other
259.85820962245964,435.74836837746545,0.0,other
-339.60842594471666,69.6171893462214,0.0,other
-151.49769878830523,61.18745540048624,0.0,other
123.41989545124221,37.35224776797291,0.0,other
202.02577941392707,-290.088734212143,0.0,other
442.3826515027097,-420.23690852343276,0.0,other
179.42453181180323,406.78884561037563,0.0,other
-373.6881685180938,580.9796183136199,0.0,other
-396.90828252036414,58.359118242586895,0.0,other
252.95837717825776,-543.4554373663034,0.0,other
385.75324950802417,-214.19659547026004,0.0,other
-514.5380636554346,236.04073110568834,0.0,other
549.4517914828526,152.4031563891794,0.0,other
527.9677817876697,93.7650447528049,0.0,other
538.8894926523201,-315.17106332274,0.0,other
176.28257269191485,-285.04846760158574,0.0,other
-127.02653381223219,-408.2787861855089,0.0,other
99.4896958982934,244.2233604699633,0.0,other
-490.9854989525312,-468.53096650103663,0.0,other
229.8799389357124,-543.3299879616718,0.0,other
261.876001339745,613.5884449526724,0.0,other
-424.7546840266108,-38.260249477368966,0.0,other
-228.83853158703053,220.3408065259845,0.0,other
44.68513642474668,-0.18614312019739285,0.0,other
-67.05499797262885,-212.57552692921956,0.0,other
-368.9997116271862,-279.82924089447795,0.0,other
434.32370324676583,141.33391225879043,0.0,other
-145.37804846456373,433.6043072054554,0.0,other
-260.9867933930012,527.8847491614856,0.0,other
601.402319008112,258.57806319910696,0.0,other
-648.6004257220729,-197.1802482217943,0.0,other
34.74047483506981,-294.3780337071445,0.0,other
18.43884932603061,65.06273266748008,0.0,other
169.53218351369816,147.5397049195093,0.0,other
439.75630265941413,88.47120406833152,0.0,other
662.1909550024251,70.71827058856721,0.0,other
247.43559878302418,496.2782929435616,0.0,other
-502.01795934029303,199.2633534494303,0.0,other
127.32800844805776,469.8340017315736,0.0,other
-266.55277375954944,-282.48631329219285,0.0,other
238.77287659003764,640.3487187343593,0.0,other
-183.29799345052,-227.00418793333552,0.0,other
261.47373129249064,610.2564245082457,0.0,other
-322.8536470012733,-420.72812249129817,0.0,other
311.5764338424583,563.9524557203717,0.0,other
-219.25588618365342,489.8116952595405,0.0,other
342.8054755830748,-543.7005893865015,0.0,other
629.0799958834109,-19.56428476423131,0.0,other
-413.1884581189939,-159.37907163928378,0.0,other
79.69511648865915,222.7046288481066,0.0,other
418.91364298160994,185.5636934465978,0.0,other
-13.768907637854966,-168.47619510350307,0.0,other
136.6640333304162,394.54709419282807,0.0,other
210.99040245936322,537.6359418802041,0.0,other
345.647997630768,472.9097071966347,0.0,other
456.1588641124485,149.3182002616612,0.0,other
95.89201058142831,-325.0067177749169,0.0,other
-388.1955706420479,-508.6966210237187,0.0,other
